States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year,Persons in custody during inv stage at beginning of Year_Male,Persons in custody during inv stage at beginning of Year_Female,Persons in custody during inv stage at beginning of Year_Total,Persons on bail during inv stage at beginning of Year_Male,Persons on bail during inv stage at beginning of Year_Female,Persons on bail during inv stage at beginning of Year_Total,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Persons released or freed before trial for want of evidence_Male,Persons released or freed before trial for want of evidence_Fem,Persons released or freed before trial for want of evidence_Tot,Persons in custody during inv stage at year end_Male,Persons in custody during inv stage at year end_Female,Persons in custody during inv stage at year end_Total,Persons on Bail during inv stage at year end_Male,Persons on Bail during inv stage at Year end_Female,Persons on Bail during inv stage at year end_Total,Persons charge sheeted_Male,Persons charge sheeted_Female,Persons charge sheeted_Total,Persons in custody during trial stage at begin of year_Male,Persons in custody during trial stage at begin of year_Female,Persons in custody during trial stage at begin of year_Total,Persons on Bail during trial stage at begin of year_Male,Persons on Bail during trial stage at begin of year_Female,Persons on Bail during trial stage at begin of year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons against whom cases were compounded by Courts_Male,Persons against whom cases were compounded by Courts_Female,Persons against whom cases were compounded by Courts_Total,Persons against whom cases were withdrawn_Male,Persons against whom cases were withdrawn_Female,Persons against whom cases were withdrawn_Total,Persons in custody during trial stage at Year end_Male,Persons in custody during trial stage at Year end_Female,Persons in custody during trial stage at Year end_Total,Persons on bail during trial stage at Year End_Male,Persons on bail during trial stage at Year End_Female,Persons on bail during trial stage at Year End_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,Persons Discharged by Court_Male,Persons Discharged by Court_Female,Persons Discharged by Court_Total
Andhra Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,1,1,2,3,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,231,2,272,274,274,0,0,0,67,17,0,96,119,215,16,315,190,535,215,0,0,750,14,157,0,2,2,9,146,155,579,0,0,0,330,12,342,436,19,455,0,0,0,18,0,18,276,16,292,472,15,487,0,6,6,969,8,977,1441,29,1470,16,0,16,0,0,0,18,0,18,839,9,848,568,20,588,9,0,9,559,20,579,0,0,0
Andhra Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,139,3,260,263,279,0,0,0,58,22,0,85,53,138,2,220,182,342,138,0,0,480,1,114,0,5,5,6,103,109,365,4,0,4,76,5,81,374,19,393,0,0,0,9,1,10,173,8,181,272,15,287,21,3,24,249,23,272,542,41,583,10,0,10,0,0,0,21,1,22,359,31,390,152,9,161,5,0,5,147,9,156,0,0,0
Andhra Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,160,3,212,215,215,0,0,2,5,1,0,62,124,186,0,192,181,541,186,0,0,727,1,148,2,27,29,9,110,119,578,15,4,19,198,41,239,395,136,531,0,0,0,25,4,29,275,83,358,308,94,402,41,0,41,1038,148,1186,1387,242,1629,1,0,1,0,0,0,28,7,35,1084,184,1268,274,51,325,36,9,45,238,42,280,0,0,0
Andhra Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,1852,153,4394,4547,4557,0,0,9,775,91,1,2106,1114,3220,90,4177,2213,5267,3220,0,0,8487,270,1794,21,145,166,213,1415,1628,6423,59,0,59,1633,28,1661,4759,156,4915,0,0,0,173,0,173,2058,62,2120,4220,122,4342,228,0,228,6133,98,6231,10581,220,10801,237,4,241,57,0,57,240,0,240,7624,160,7784,2423,56,2479,383,5,388,2040,51,2091,0,0,0
Andhra Pradesh,5.1 - Sexual Harassment,2014,296,7,1065,1072,1076,0,0,4,162,16,0,491,212,703,25,906,458,483,703,0,0,1186,26,264,4,17,21,21,222,243,896,7,0,7,276,2,278,1043,20,1063,0,0,0,9,0,9,474,10,484,843,12,855,0,0,0,451,3,454,1294,15,1309,19,0,19,9,0,9,14,0,14,966,15,981,286,0,286,21,0,21,265,0,265,0,0,0
Andhra Pradesh,5.2 - Assault on women with intent to Disrobe,2014,29,9,325,334,335,0,0,0,53,6,0,140,20,160,11,230,133,47,160,0,0,207,5,15,1,0,1,4,10,14,187,1,0,1,71,0,71,371,7,378,0,0,0,1,0,1,182,2,184,260,5,265,0,0,0,170,3,173,430,8,438,5,0,5,0,0,0,13,0,13,385,8,393,27,0,27,1,0,1,26,0,26,0,0,0
Andhra Pradesh,5.3 - Voyeurism,2014,11,0,71,71,71,0,0,0,4,0,0,42,2,44,2,50,32,4,44,0,0,48,0,3,0,0,0,3,0,3,45,0,0,0,9,0,9,86,0,86,0,0,0,1,0,1,37,0,37,57,0,57,0,0,0,29,0,29,86,0,86,0,0,0,0,0,0,6,0,6,74,0,74,6,0,6,0,0,0,6,0,6,0,0,0
Andhra Pradesh,5.4 - Stalking,2014,60,2,502,504,504,0,0,1,24,1,0,267,49,316,13,354,209,39,316,0,0,355,13,14,1,0,1,5,8,13,328,1,0,1,153,0,153,513,4,517,0,0,0,10,0,10,198,0,198,459,4,463,11,0,11,76,0,76,546,4,550,6,0,6,0,0,0,10,0,10,410,4,414,120,0,120,84,0,84,36,0,36,0,0,0
Andhra Pradesh,5.5 - Others,2014,1456,135,2431,2566,2571,0,0,4,532,68,1,1166,831,1997,39,2637,1381,4694,1997,0,0,6691,226,1498,15,128,143,180,1175,1355,4967,50,0,50,1124,26,1150,2746,125,2871,0,0,0,152,0,152,1167,50,1217,2601,101,2702,217,0,217,5407,92,5499,8225,193,8418,207,4,211,48,0,48,197,0,197,5789,133,5922,1984,56,2040,277,5,282,1707,51,1758,0,0,0
Andhra Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,633,39,2610,2649,2676,0,0,6,320,32,8,1379,758,2137,25,2522,754,3527,2137,0,7,5657,1105,1534,67,221,288,400,846,1246,3018,20,0,20,712,12,724,2930,90,3020,4,2,6,14,0,14,995,13,1008,2649,87,2736,150,0,150,4215,45,4260,7014,132,7146,829,18,847,0,0,0,110,0,110,3768,88,3856,2307,26,2333,341,3,344,1772,23,1795,194,0,194
Andhra Pradesh,6.1 - At Office premises,2014,8,0,3,3,3,0,0,0,1,0,0,2,0,2,0,3,8,12,2,0,0,14,2,4,0,0,0,0,4,4,8,0,0,0,8,0,8,2,0,2,0,0,0,0,0,0,8,0,8,2,0,2,0,0,0,12,0,12,14,0,14,2,0,2,0,0,0,0,0,0,8,0,8,4,0,4,0,0,0,4,0,4,0,0,0
Andhra Pradesh,6.2 - Other places related to work,2014,40,0,84,84,84,0,0,1,11,0,0,21,75,96,0,107,16,166,96,0,0,262,57,78,0,0,0,6,72,78,127,0,0,0,8,0,8,107,0,107,0,0,0,0,0,0,15,0,15,100,0,100,0,0,0,312,0,312,412,0,412,68,0,68,0,0,0,0,0,0,166,0,166,178,0,178,0,0,0,178,0,178,0,0,0
Andhra Pradesh,6.3 - In Public Transport system,2014,8,2,63,65,65,0,0,1,4,0,0,9,40,49,10,63,9,41,49,0,0,90,6,23,2,5,7,4,12,16,61,0,0,0,6,0,6,68,0,68,0,0,0,0,0,0,13,0,13,61,0,61,0,0,0,41,0,41,102,0,102,6,0,6,0,0,0,0,0,0,72,0,72,24,0,24,7,0,7,17,0,17,0,0,0
Andhra Pradesh,6.4 - in Other Places,2014,577,37,2460,2497,2524,0,0,4,304,32,8,1347,643,1990,15,2349,721,3308,1990,0,7,5291,1040,1429,65,216,281,390,758,1148,2822,20,0,20,690,12,702,2753,90,2843,4,2,6,14,0,14,959,13,972,2486,87,2573,150,0,150,3850,45,3895,6486,132,6618,753,18,771,0,0,0,110,0,110,3522,88,3610,2101,26,2127,334,3,337,1573,23,1596,194,0,194
Andhra Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,3374,593,5769,6362,6401,0,0,53,367,112,1,3436,2210,5646,91,6217,3466,15017,5646,0,1,20662,1879,3403,47,181,228,345,2830,3175,15380,186,31,217,3140,539,3679,7770,1500,9270,39,15,54,241,16,257,3339,652,3991,7477,1387,8864,1278,27,1305,19924,2356,22280,28679,3770,32449,1812,283,2095,52,5,57,1140,86,1226,20528,2563,23091,5147,833,5980,410,54,464,4737,779,5516,0,0,0
Andhra Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,142,0,217,217,217,0,0,4,3,2,0,84,93,177,5,187,168,363,177,0,0,540,4,115,1,10,11,5,99,104,421,0,0,0,142,3,145,221,6,227,0,0,0,1,0,1,154,4,158,208,5,213,0,0,0,351,13,364,559,18,577,4,0,4,0,0,0,2,0,2,433,12,445,120,6,126,11,0,11,109,6,115,0,0,0
Andhra Pradesh,"10 - Dowry Prohibition Act, 1961",2014,531,7,461,468,468,0,0,0,51,0,0,240,329,569,3,623,376,1934,569,0,0,2503,165,804,0,26,26,35,743,778,1534,36,0,36,337,36,373,795,40,835,0,0,0,14,0,14,282,13,295,872,63,935,192,2,194,1710,194,1904,2774,259,3033,216,48,264,0,0,0,179,12,191,1457,111,1568,922,88,1010,70,4,74,852,84,936,0,0,0
Andhra Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,14,0,3,3,3,0,0,0,0,0,0,2,12,14,0,14,3,33,14,0,0,47,0,21,0,4,4,0,17,17,26,0,0,0,28,0,28,25,0,25,0,0,0,0,0,0,1,0,1,52,0,52,8,0,8,50,0,50,110,0,110,0,0,0,0,0,0,5,0,5,64,0,64,41,0,41,6,0,6,35,0,35,0,0,0
Andhra Pradesh,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,97,0,204,204,289,0,0,0,0,1,0,155,70,225,0,226,75,349,225,0,0,574,1,110,0,6,6,4,100,104,463,16,0,16,177,55,232,249,155,404,0,0,0,3,0,3,74,46,120,365,164,529,22,0,22,441,158,599,828,322,1150,0,0,0,0,0,0,19,0,19,559,211,770,250,111,361,28,4,32,222,107,329,0,0,0
Andhra Pradesh,14.1 - Under ITP Section 5,2014,21,0,23,23,29,0,0,0,0,0,0,11,13,24,0,24,20,48,24,0,0,72,1,18,0,2,2,1,15,16,53,0,0,0,9,11,20,34,20,54,0,0,0,0,0,0,14,9,23,29,22,51,0,0,0,88,14,102,117,36,153,0,0,0,0,0,0,0,0,0,60,13,73,57,23,80,0,0,0,57,23,80,0,0,0
Andhra Pradesh,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.4 - Under ITP Section 8,2014,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.5 - Other Sections under ITP Act,2014,76,0,179,179,258,0,0,0,0,1,0,142,57,199,0,200,55,301,199,0,0,500,0,92,0,4,4,3,85,88,408,16,0,16,168,44,212,215,135,350,0,0,0,3,0,3,60,37,97,336,142,478,22,0,22,353,144,497,711,286,997,0,0,0,0,0,0,19,0,19,499,198,697,193,88,281,28,4,32,165,84,249,0,0,0
Andhra Pradesh,15 - Total Crimes against Women,2014,7892,814,15698,16512,16759,0,0,84,1725,301,10,8031,5358,13389,253,15678,8642,29900,13389,0,8,43281,3464,8801,139,696,835,1036,6930,7966,31016,416,35,451,7445,747,8192,19488,2188,21676,45,17,62,581,21,602,8603,952,9555,18120,1980,20100,2077,38,2115,37379,3087,40466,57576,5105,62681,3152,353,3505,109,5,114,1954,106,2060,39311,3421,42732,13050,1220,14270,1380,79,1459,11476,1141,12617,194,0,194
Arunachal Pradesh,1 - Rape (Section 376 IPC),2014,51,0,83,83,83,0,0,1,0,0,0,50,24,74,7,81,52,577,74,0,0,651,0,7,0,3,3,0,4,4,644,7,0,7,65,4,69,91,2,93,7,0,7,9,0,9,65,2,67,82,4,86,14,0,14,650,0,650,746,4,750,0,0,0,1,0,1,37,0,37,700,4,704,8,0,8,4,0,4,4,0,4,0,0,0
Arunachal Pradesh,1.1 - Custodial Rape,2014,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.2 - Rape other than Custodial,2014,51,0,79,79,79,0,0,1,0,0,0,50,24,74,7,81,48,577,74,0,0,651,0,7,0,3,3,0,4,4,644,7,0,7,65,4,69,87,2,89,7,0,7,5,0,5,65,2,67,82,4,86,14,0,14,650,0,650,746,4,750,0,0,0,1,0,1,37,0,37,700,4,704,8,0,8,4,0,4,4,0,4,0,0,0
Arunachal Pradesh,1.2.1 - Rape_Gang Rape,2014,1,0,5,5,5,0,0,1,0,0,0,3,0,3,0,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,10,0,10,0,0,0,1,0,1,4,0,4,8,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.2.2 - Rape_Others,2014,50,0,74,74,74,0,0,0,0,0,0,47,24,71,7,78,46,577,71,0,0,648,0,7,0,3,3,0,4,4,641,7,0,7,62,4,66,77,2,79,7,0,7,4,0,4,61,2,63,74,4,78,14,0,14,650,0,650,738,4,742,0,0,0,1,0,1,33,0,33,696,4,700,8,0,8,4,0,4,4,0,4,0,0,0
Arunachal Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,0,10,10,10,0,0,0,0,0,0,6,0,6,0,6,4,0,6,0,0,6,0,1,1,0,1,0,0,0,5,0,0,0,1,0,1,12,1,13,0,0,0,0,0,0,3,0,3,10,1,11,0,0,0,15,0,15,25,1,26,0,0,0,0,0,0,2,0,2,22,1,23,1,0,1,1,0,1,0,0,0,0,0,0
Arunachal Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,26,0,91,91,107,0,0,0,0,0,0,30,9,39,39,78,39,169,39,0,0,208,1,0,0,0,0,0,0,0,207,20,0,20,26,0,26,68,11,79,1,1,2,2,0,2,54,3,57,57,7,64,0,0,0,276,0,276,333,7,340,1,0,1,2,0,2,3,0,3,327,7,334,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0,0,25,25,27,0,0,0,0,0,0,3,0,3,16,19,6,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,1,0,1,7,0,7,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,5,0,20,20,20,0,0,0,0,0,0,8,0,8,8,16,9,162,8,0,0,170,1,0,0,0,0,0,0,0,169,0,0,0,14,0,14,15,5,20,1,1,2,0,0,0,14,0,14,14,4,18,0,0,0,251,0,251,265,4,269,0,0,0,0,0,0,1,0,1,264,4,268,0,0,0,0,0,0,0,0,0,0,0,0
